ind,open,close,low,high,volume,ma5,kf,macd,pjsp5,pjsp5bl,lrkf
168,19134.67,19184.55,19071.51,19209.51,1035.914026,19167.206,B,-23.57830264,19314.304,0.006763463,BB
169,19184.55,19310.13,19118.49,19350,1488.475416,19202.706,B,-14.20704631,19333.534,0.001212006,BC
170,19310.12,19289.93,19241.01,19332.99,1114.789662,19223.542,C,-9.152796205,19347.626,0.002990991,CC
171,19289.93,19288.88,19253.51,19380.57,1200.240536,19241.634,C,-5.826344768,19370.164,0.004214034,CB
172,19286.76,19346.19,19261.79,19346.19,663.4665227,19283.936,B,-0.019543868,19406.674,0.003126404,BB
173,19346.19,19336.39,19257.74,19437.2,2155.732516,19314.304,B,2.75473105,19445.82,0.005659278,BC
174,19336.39,19406.28,19336.38,19433.34,845.8363582,19333.534,C,8.562196398,19463.022,0.002923899,CB
175,19406.29,19360.39,19330,19437.08,898.7599985,19347.626,B,8.55804572,19474.604,0.005899365,BB
176,19359.56,19401.57,19350.68,19434.62,444.9683885,19370.164,B,10.44860276,19485.598,0.00433099,BC
177,19400.66,19528.74,19394.89,19543,915.1735068,19406.674,C,18.89148621,19464.71,-0.003278757,CC
178,19528.75,19532.12,19463.8,19544,654.4805186,19445.82,C,23.05560488,19430.814,-0.005186636,CC
179,19532.13,19492.29,19465.72,19545.78,461.4149283,19463.022,C,21.50947706,19410.022,-0.004220541,CB
180,19492.29,19418.3,19345,19509,1024.540505,19474.604,B,14.23629209,19415.132,-0.000163145,BA
181,19418.3,19456.54,19380,19485.98,305.4595888,19485.598,A,10.88458006,19393.512,-0.003239425,AA
182,19456.54,19424.3,19350,19466.74,557.5067291,19464.71,A,5.643796461,19379.184,-0.002322658,AB
183,19424.29,19362.64,19280,19460.07,975.5809516,19430.814,B,-2.396669081,19381.072,0.000951936,BA
184,19362.64,19388.33,19315.17,19418.81,668.4977544,19410.022,A,-6.190491109,19388.54,1.08313E-05,AB
185,19386.82,19443.85,19386.82,19489,796.1564695,19415.132,B,-5.205930541,19383.77,-0.003089923,BB
186,19443.86,19348.44,19322.71,19456.41,1042.263863,19393.512,B,-10.89811926,19410.106,0.00318713,BB
187,19348.43,19352.66,19304.73,19391.61,641.7684574,19379.184,B,-14.09377827,19442.734,0.004654347,BB
188,19355.26,19372.08,19339.23,19417.52,468.8214128,19381.072,B,-14.55498805,19527.716,0.008034037,BB
189,19372.09,19425.67,19345.73,19450,501.9882548,19388.54,B,-11.0642973,19589.932,0.008455925,BC
190,19425.67,19420,19397.65,19449.25,417.1852612,19383.77,C,-9.036236637,19658.244,0.012267971,CB
191,19420,19480.12,19373.36,19484.28,696.6152453,19410.106,B,-3.812078945,19821.484,0.017523711,BB
192,19480.11,19515.8,19419.98,19528.78,847.2299535,19442.734,B,1.590456261,20037.036,0.026708411,BB
193,19515.79,19796.99,19497.02,19800,4140.976459,19527.716,B,22.48583489,20209.576,0.020840845,BC
194,19796.98,19736.75,19645.56,19868,2232.039334,19589.932,C,30.15594262,20433.846,0.035319695,CC
195,19738,19761.56,19688,19888.88,3190.145876,19658.244,C,34.49358787,20610.17,0.04294246,CC
196,19761.57,20296.32,19761.56,20450,8052.633502,19821.484,C,68.98032347,20667.99,0.018312187,CC
197,20296.33,20593.56,20190.73,20722,9396.88104,20037.036,C,105.2408815,20696.486,0.00499797,CC
198,20593.57,20659.69,20432.3,20698,2991.745818,20209.576,C,125.7236332,20725.298,0.003175653,CC
199,20659.69,20858.1,20634.1,20894.63,4850.376607,20433.846,C,143.3986728,20791.99,-0.003169512,CC
200,20858.11,20643.18,20583.37,20860.45,1689.669299,20610.17,C,131.6827485,20937.016,0.014234047,CB
201,20642.43,20585.42,20550,20738.42,817.8627604,20667.99,B,111.888758,21088.448,0.02443613,BB
202,20585.66,20736.04,20556.02,20767.28,764.2124781,20696.486,B,101.1125335,21221.618,0.023417104,BC
203,20736.04,20803.75,20730.04,20840,812.5958556,20725.298,C,91.03179902,21406.214,0.028959394,CB
204,20803.7,21191.56,20728.79,21303.48,3000.782076,20791.99,B,102.1359873,21550.974,0.016960243,BC
205,21191.56,21368.31,21163.2,21500,2515.384254,20937.016,C,112.2342302,21627.696,0.012138817,CC
206,21366.17,21342.58,21200,21563.83,3039.849244,21088.448,C,107.9949942,21716.374,0.017514003,CC
207,21342.58,21401.89,21232.04,21415.72,2901.353398,21221.618,C,100.1724438,21892.01,0.022900781,CC
208,21401.9,21726.73,21401.4,21910,6085.908799,21406.214,C,107.2312034,21981.062,0.011705949,CC
209,21726.74,21915.36,21645.96,21998,2550.941949,21550.974,C,114.3102422,22092.858,0.008099251,CC
210,21916.72,21751.92,21710,22175.23,3967.775139,21627.696,C,98.30207583,22324.126,0.026306,CC
211,21751.92,21785.97,21735,21906.57,1496.651028,21716.374,C,81.04177106,22497.14,0.032643486,CB
212,21785.96,22280.07,21785.1,22309.84,2440.047993,21892.01,B,93.07606958,22563.644,0.012727698,BC
213,22280.07,22171.99,22045.97,22377.66,2687.64658,21981.062,C,84.1989401,22677.246,0.022788031,CC
214,22172,22474.34,22100,22485,1794.079409,22092.858,C,88.68106383,22808.716,0.014878123,CC
215,22477.18,22908.26,22402.05,22980,4735.855619,22324.126,C,109.4959163,22791.98,-0.005075898,CB
216,22908.26,22651.04,22275.13,23850.21,12399.67296,22497.14,B,95.10015415,22877.77,0.010009695,BB
217,22649.91,22612.59,22391.14,22915.87,4688.945145,22563.644,B,73.13434845,23021.114,0.018066219,BB
218,22613.08,22740,22524.18,22800,1728.587211,22677.246,B,57.99337967,23191.392,0.019850132,BB
219,22749.42,23131.69,22586.64,23166,2990.577339,22808.716,B,64.65735461,23167.012,0.001526996,BB
220,23131.69,22824.58,22641.84,23329,3348.230976,22791.98,B,39.89575858,23252.992,0.018769765,BB
221,22824.58,23079.99,22721.86,23256.08,2457.112571,22877.77,B,32.54304903,23216.71,0.005923746,BB
222,23076.03,23329.31,22900,23365.2,2634.985093,23021.114,B,36.02451166,23109.74,-0.009411766,BC
223,23330.93,23591.39,23200,23666,5192.96791,23191.392,C,46.84632575,22948.546,-0.027249094,CB
224,23591.39,23009.79,23000,23705.83,2676.241142,23167.012,B,7.75317368,22938.794,-0.003085469,BA
225,23009.79,23254.48,22473.81,23289.97,6465.99903,23252.992,A,-7.862158144,22848.33,-0.017465452,AB
226,23254.48,22898.58,22726.93,23498.27,3767.396471,23216.71,B,-46.25379685,22821.354,-0.003372524,BA
227,22898.58,22794.46,22321,23104.6,3676.222585,23109.74,A,-80.73519715,22860.604,0.002901758,AA
228,22793.75,22785.42,22380.4,22842.37,1970.649236,22948.546,A,-104.7063685,22904.956,0.005246162,AB
229,22785.42,22961.03,22760.1,23100,1000.905116,22938.794,B,-108.8107449,22874.986,-0.003747393,BB
230,22961.04,22802.16,22584.14,22999.99,1945.988702,22848.33,B,-121.3455714,22888.15,0.003771134,BA
231,22804.61,22763.7,22464.6,22841.06,2254.757126,22821.354,A,-130.5464884,22925.648,0.007114309,AB
232,22762.47,22990.71,22634.72,23146.78,1830.756408,22860.604,B,-119.9362312,22925.486,-0.002836972,BC
233,22990.72,23007.18,22940.01,23250,1228.27804,22904.956,C,-110.627733,22934.742,-0.003148495,CB
234,23007.17,22811.18,22764.38,23046.28,1266.450367,22874.986,B,-115.930315,22994.944,0.008055874,BB
235,22810.04,22867.98,22769.62,22980,1104.98087,22888.15,B,-113.715535,23064.25,0.008582743,BB
236,22866.92,22951.19,22835.79,23030,786.875271,22925.648,B,-104.9605151,23066.826,0.005038344,BB
237,22951.18,22989.9,22880.46,23165,1087.065613,22925.486,B,-95.16581217,23046.582,0.002465517,BB
238,22989.68,23053.46,22836.27,23068.85,1376.469712,22934.742,B,-83.43013938,23023.624,-0.001294209,BB
239,23056.28,23112.19,22942.26,23278,1603.81985,22994.944,B,-71.21119281,22915.918,-0.008492142,BB
240,23112.12,23214.51,23015.16,23214.62,1091.626558,23064.25,B,-56.3857603,22795.664,-0.018042423,BB
241,23214.75,22964.07,22931.02,23225.9,1379.403508,23066.826,B,-63.0876111,22713.57,-0.010908345,BA
242,22964.08,22888.68,22737.29,22965.57,1538.584355,23046.582,A,-71.61595245,22679.558,-0.009136481,AB
243,22888.68,22938.67,22731.56,23069,1391.775845,23023.624,B,-72.67734702,22641.328,-0.012962478,BA
244,22938.67,22573.66,22550,22948.65,1642.518334,22915.918,A,-95.32164806,22682.516,0.004822257,AA
245,22573.66,22613.24,22414.99,22678.39,2069.844447,22795.664,A,-104.2693991,22711.768,0.004357093,AA
246,22613.23,22553.6,22366,22635.7,1985.049939,22713.57,A,-110.2576997,22752.65,0.008825642,AB
247,22553.91,22718.62,22450,22754.97,1944.838111,22679.558,B,-99.48858146,22785.358,0.00293759,BC
248,22718.62,22747.52,22674.32,22811.48,915.501089,22641.328,C,-87.24087852,22837.5,0.003955596,CC
249,22749.78,22779.6,22695.49,22825,650.7668771,22682.516,C,-74.30669239,22903.002,0.005417215,CB
250,22779.59,22759.5,22627,22779.6,532.2165584,22711.768,B,-64.78090901,22942.05,0.008020826,BB
251,22759.55,22758.01,22654.29,22791.82,457.4126519,22752.65,B,-56.55550824,22999.338,0.010604091,BC
252,22757.98,22882.16,22755.05,23075.88,1598.653156,22785.358,C,-41.42939847,23066.902,0.008073626,CB
253,22882.17,23008.23,22802.24,23029.12,614.0535698,22837.5,B,-22.55403775,23085.48,0.003357494,BC
254,23008.23,23107.11,22904.94,23144.62,976.3389022,22903.002,C,-4.001993848,23073.09,-0.001472274,CC
